  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      7.1132E-01      1.3623E+00      1.2022E+00      1.6504E+00      4.5516E-01      6.8183E+01      1.2252E+02      1.0000E+00
      9.0373E-01      1.0469E+00      1.0079E+00      1.1295E+00      8.5397E-01      8.6763E+01      9.2848E+01      1.0000E+00
      9.9916E-01      1.0428E+00      1.0033E+00      1.0846E+00      9.6962E-01      8.8444E+01      9.1845E+01      1.0000E+00
      9.9916E-01      1.0428E+00      1.0033E+00      1.0846E+00      9.6962E-01      8.8444E+01      9.1845E+01      1.0000E+00
      9.0373E-01      1.0469E+00      1.0079E+00      1.1295E+00      8.5397E-01      8.6763E+01      9.2848E+01      1.0000E+00
      7.1132E-01      1.3623E+00      1.2022E+00      1.6504E+00      4.5516E-01      6.8183E+01      1.2252E+02      1.0000E+00
      6.3436E-01      1.3151E+00      1.2698E+00      1.6006E+00      3.7695E-01      6.9440E+01      1.2710E+02      1.0000E+00
      1.0348E+00      1.1442E+00      1.0318E+00      1.3000E+00      8.7446E-01      7.6754E+01      1.0018E+02      1.0000E+00
      1.1253E+00      1.0966E+00      1.0277E+00      1.1868E+00      9.9281E-01      7.6824E+01      9.8991E+01      1.0000E+00
      9.7740E-01      1.0238E+00      1.0011E+00      1.0385E+00      9.6840E-01      8.8336E+01      9.1703E+01      1.0000E+00
      9.8440E-01      1.0181E+00      1.0007E+00      1.0364E+00      9.7839E-01      8.9681E+01      9.0665E+01      1.0000E+00
      9.8440E-01      1.0181E+00      1.0007E+00      1.0364E+00      9.7839E-01      8.9681E+01      9.0665E+01      1.0000E+00
      9.7740E-01      1.0238E+00      1.0011E+00      1.0385E+00      9.6840E-01      8.8336E+01      9.1703E+01      1.0000E+00
      1.1253E+00      1.0966E+00      1.0277E+00      1.1868E+00      9.9281E-01      7.6824E+01      9.8991E+01      1.0000E+00
      1.0348E+00      1.1442E+00      1.0318E+00      1.3000E+00      8.7446E-01      7.6754E+01      1.0018E+02      1.0000E+00
      6.3436E-01      1.3151E+00      1.2698E+00      1.6006E+00      3.7695E-01      6.9440E+01      1.2710E+02      1.0000E+00
      6.3477E-01      1.3135E+00      1.2701E+00      1.5999E+00      3.7707E-01      6.9504E+01      1.2710E+02      1.0000E+00
      9.8883E-01      1.0228E+00      1.0052E+00      1.0426E+00      9.5198E-01      8.4173E+01      9.3764E+01      1.0000E+00
      9.9029E-01      1.0210E+00      1.0009E+00      1.0427E+00      9.6017E-01      8.7661E+01      9.1235E+01      1.0000E+00
      1.0208E+00      1.0083E+00      1.0009E+00      1.0175E+00      1.0079E+00      8.7572E+01      9.1955E+01      1.0000E+00
      1.0001E+00      1.0121E+00      1.0008E+00      1.0258E+00      9.8204E-01      8.7673E+01      9.1405E+01      1.0000E+00
      9.8853E-01      1.0100E+00      1.0002E+00      1.0205E+00      9.8651E-01      8.9595E+01      9.0319E+01      1.0000E+00
      9.8853E-01      1.0100E+00      1.0002E+00      1.0205E+00      9.8651E-01      8.9595E+01      9.0319E+01      1.0000E+00
