Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000,0.46875000000000E-00003,0.46875000000000E-00003,0.12500000000000E+00000,0.12500000000000E+00000,0.28955078125000E+00000,0.46875000000000E-00003,0.46875000000000E-00003,0.46875000000000E-00003,-.63102117438572E-00019,0.20000000000010E+00001,0.10000000003125E+00001,0.28867513459481E+00000,0.20011951185825E+00001,0.46875000000000E-00003,0.64661008411399E-00029
0.39734376614323E-00001,0.46939148217832E-00003,0.59785341631773E-00004,0.12501551451399E+00000,0.12498948718638E+00000,0.28961036407511E+00000,0.46910987599436E-00003,0.46939148217832E-00003,0.46920374472233E-00003,-.40941840309056E-00003,0.20093742003012E+00001,0.10000140636257E+00001,0.28869304865663E+00000,0.20011542274258E+00001,0.46885463619027E-00003,0.37584085137336E-00006
0.79475378504053E-00001,0.47141306359672E-00003,-.33390902186322E-00003,0.12510089225050E+00000,0.12499497692296E+00000,0.28986968344058E+00000,0.47031426201192E-00003,0.47141306359672E-00003,0.47068052920684E-00003,-.80458955107006E-00003,0.20381049109982E+00001,0.10000278301149E+00001,0.28879161143231E+00000,0.20011132447624E+00001,0.46931476916624E-00003,0.14706652392155E-00005
0.11924286281359E+00000,0.47466128953266E-00003,-.69861463987501E-00003,0.12525212559206E+00000,0.12501558922236E+00000,0.29033603011612E+00000,0.47228803466239E-00003,0.47466128953266E-00003,0.47307911961913E-00003,-.11716937594941E-00002,0.20857085838369E+00001,0.10000405831665E+00001,0.28896611749714E+00000,0.20010720631000E+00001,0.47013601611807E-00003,0.31907727061742E-00005
0.15904768246907E+00000,0.47890679575914E-00003,-.10234895250113E-00002,0.12546306584273E+00000,0.12504997325587E+00000,0.29102091314603E+00000,0.47491880649887E-00003,0.47890679575914E-00003,0.47624813625228E-00003,-.14997376612636E-00002,0.21511734693905E+00001,0.10000512253510E+00001,0.28920934268303E+00000,0.20010305919962E+00001,0.47132666838534E-00003,0.53933110214769E-00005
0.19888770488320E+00000,0.48387045031029E-00003,-.13011030235047E-00002,0.12572586892634E+00000,0.12509640342477E+00000,0.29193879134978E+00000,0.47806912099544E-00003,0.48387045031029E-00003,0.48000289743371E-00003,-.17811059209384E-00002,0.22327971462158E+00001,0.10000584121375E+00001,0.28951208256460E+00000,0.20009887651548E+00001,0.47289523104066E-00003,0.78994524737087E-00005
0.23876056165939E+00000,0.48925814100944E-00003,-.15282741291872E-00002,0.12603168410289E+00000,0.12515293397348E+00000,0.29310577168239E+00000,0.48159305187282E-00003,0.48925814100944E-00003,0.48414808158501E-00003,-.20124222107722E-00002,0.23278898333106E+00001,0.10000607165070E+00001,0.28986397281356E+00000,0.20009465291030E+00001,0.47484799495197E-00003,0.10513797900501E-00004
0.27865834011224E+00000,0.49479597273147E-00003,-.17063800471365E-00002,0.12637130840763E+00000,0.12521756726124E+00000,0.29453774969952E+00000,0.48535276870796E-00003,0.49479597273147E-00003,0.48850050338244E-00003,-.21948805505189E-00002,0.24325151557177E+00001,0.10000567934392E+00001,0.29025426601244E+00000,0.20009038493890E+00001,0.47718589334686E-00003,0.13046635389608E-00004
0.31856310614153E+00000,0.50026205817517E-00003,-.18412275554106E-00002,0.12673577583775E+00000,0.12528842414474E+00000,0.29624817396589E+00000,0.48923338044974E-00003,0.50026205817517E-00003,0.49290960635820E-00003,-.23341371617688E-00002,0.25414420305295E+00001,0.10000455312532E+00001,0.29067252574876E+00000,0.20008607148869E+00001,0.47990121400859E-00003,0.15337319721652E-00004
0.35841391400451E+00000,0.50550614057641E-00003,-.19423145398892E-00002,0.12711654650015E+00000,0.12536384330682E+00000,0.29824406463727E+00000,0.49315087404882E-00003,0.50550614057641E-00003,0.49726929622466E-00003,-.24395838361139E-00002,0.26483915449384E+00001,0.10000261877182E+00001,0.29110885306606E+00000,0.20008171725829E+00001,0.48297238648588E-00003,0.17273843322049E-00004
