Time	Dissipation Rate Incompressible	Dissipation Rate Compressible	Ekin incomp	Ekin comp	Enstrophy comp	DR_u	DR_S	DR_Sd	DR_p	Maximum Vorticity	Mean Temperature	uprime	Mean Entropy	ED_S	ED_D
0.00000000000000E+00000	 0.46875000000000E-00003	 0.46875000000000E-00003	 0.12500000000000E+00000	 0.12500000000000E+00000	 0.28955078125000E+00000	 0.46875000000000E-00003	 0.46875000000000E-00003	 0.46875000000000E-00003	 -.47601381411018E-00019	 0.20000000000013E+00001	 0.10000000003126E+00001	 0.28867513459481E+00000	 0.20011951185825E+00001	 0.46875000000000E-00003	 0.25594386124633E-00029
0.40805294266828E-00001	 0.46942915926074E-00003	 0.48698099331277E-00004	 0.12501693630091E+00000	 0.12498945313877E+00000	 0.28961482511185E+00000	 0.46913200817354E-00003	 0.46942915926074E-00003	 0.46923105853594E-00003	 -.42053295920466E-00003	 0.20098346836392E+00001	 0.10000144189412E+00001	 0.28869469028821E+00000	 0.20011531945275E+00001	 0.46886256168494E-00003	 0.39660847699567E-00006
0.81628787022936E-00001	 0.47156094513786E-00003	 -.35471878240860E-00003	 0.12510749250041E+00000	 0.12499576644584E+00000	 0.28988980502438E+00000	 0.47040335952718E-00003	 0.47156094513786E-00003	 0.47078922139740E-00003	 -.82550800380600E-00003	 0.20401184470874E+00001	 0.10000285116065E+00001	 0.28879922957008E+00000	 0.20011111599593E+00001	 0.46935038530292E-00003	 0.15496587508394E-00005
0.12249080588812E+00000	 0.47497627057151E-00003	 -.72694467727392E-00003	 0.12526727676155E+00000	 0.12501797641005E+00000	 0.29038395729191E+00000	 0.47248138788979E-00003	 0.47497627057151E-00003	 0.47331301545036E-00003	 -.12002576927243E-00002	 0.20902942168751E+00001	 0.10000414823586E+00001	 0.28898359441504E+00000	 0.20010688998735E+00001	 0.47021993860818E-00003	 0.33557498371959E-00005
0.16340469916191E+00000	 0.47942296994018E-00003	 -.10564395338543E-00002	 0.12548954310084E+00000	 0.12505460058114E+00000	 0.29111023671877E+00000	 0.47524266921307E-00003	 0.47942296994018E-00003	 0.47663610278877E-00003	 -.15330756366431E-00002	 0.21592291428871E+00001	 0.10000521178510E+00001	 0.28923985790441E+00000	 0.20010263151269E+00001	 0.47148067155990E-00003	 0.56573989269656E-00005
0.20437409511232E+00000	 0.48459661879313E-00003	 -.13355498598090E-00002	 0.12576574079002E+00000	 0.12510375650953E+00000	 0.29208495402433E+00000	 0.47853748534621E-00003	 0.48459661879313E-00003	 0.48055719649518E-00003	 -.18161070563042E-00002	 0.22450118915717E+00001	 0.10000589410598E+00001	 0.28955798589117E+00000	 0.20009833284866E+00001	 0.47314233061464E-00003	 0.82586601052066E-00005
0.24536661450532E+00000	 0.49017512842490E-00003	 -.15612115233031E-00002	 0.12608599154141E+00000	 0.12516328283088E+00000	 0.29332505695972E+00000	 0.48220534459103E-00003	 0.49017512842490E-00003	 0.48486193920232E-00003	 -.20460734625054E-00002	 0.23445038465997E+00001	 0.10000603983284E+00001	 0.28992641772400E+00000	 0.20009399148310E+00001	 0.47521012167626E-00003	 0.10945042222311E-00004
0.28634066943588E+00000	 0.49586316604108E-00003	 -.17355966770144E-00002	 0.12643998881310E+00000	 0.12523095645199E+00000	 0.29484605307516E+00000	 0.48609617300665E-00003	 0.49586316604108E-00003	 0.48935183735146E-00003	 -.22249485143659E-00002	 0.24531136491209E+00001	 0.10000550700658E+00001	 0.29033312913858E+00000	 0.20008960747016E+00001	 0.47768145100082E-00003	 0.13511951292963E-00004
0.32726673754979E+00000	 0.50143267931598E-00003	 -.18659134370036E-00002	 0.12681796740770E+00000	 0.12530474837928E+00000	 0.29666047391135E+00000	 0.49009020206780E-00003	 0.50143267931598E-00003	 0.49387102781719E-00003	 -.23597844648208E-00002	 0.25649168073777E+00001	 0.10000418393225E+00001	 0.29076676495971E+00000	 0.20008518107165E+00001	 0.48054410655503E-00003	 0.15793973892492E-00004
0.36812164546172E+00000	 0.50674677030157E-00003	 -.19633218686048E-00002	 0.12721129417346E+00000	 0.12538301509141E+00000	 0.29877589158666E+00000	 0.49410944940353E-00003	 0.50674677030157E-00003	 0.49832188970287E-00003	 -.24616437583077E-00002	 0.26731349682456E+00001	 0.10000199971480E+00001	 0.29121732340122E+00000	 0.20008071306461E+00001	 0.48377435669108E-00003	 0.17686775238576E-00004
