  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      8.9996E+01      9.0002E+01      1.0000E+00
      1.0001E+00      1.0001E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9987E+01      9.0008E+01      1.0000E+00
      1.0004E+00      1.0002E+00      1.0000E+00      1.0004E+00      1.0001E+00      8.9963E+01      9.0023E+01      1.0000E+00
      1.0009E+00      1.0005E+00      1.0000E+00      1.0010E+00      1.0004E+00      8.9921E+01      9.0054E+01      1.0000E+00
      1.0017E+00      1.0010E+00      1.0000E+00      1.0019E+00      1.0010E+00      8.9873E+01      9.0099E+01      1.0000E+00
      1.0025E+00      1.0017E+00      1.0000E+00      1.0030E+00      1.0019E+00      8.9850E+01      9.0139E+01      1.0000E+00
      1.0032E+00      1.0023E+00      1.0000E+00      1.0044E+00      1.0025E+00      8.9887E+01      9.0140E+01      1.0000E+00
      1.0036E+00      1.0025E+00      1.0000E+00      1.0054E+00      1.0029E+00      8.9942E+01      9.0080E+01      1.0000E+00
      1.0036E+00      1.0025E+00      1.0000E+00      1.0054E+00      1.0029E+00      8.9942E+01      9.0080E+01      1.0000E+00
      1.0032E+00      1.0023E+00      1.0000E+00      1.0044E+00      1.0025E+00      8.9887E+01      9.0140E+01      1.0000E+00
      1.0025E+00      1.0017E+00      1.0000E+00      1.0030E+00      1.0019E+00      8.9850E+01      9.0139E+01      1.0000E+00
      1.0017E+00      1.0010E+00      1.0000E+00      1.0019E+00      1.0010E+00      8.9873E+01      9.0099E+01      1.0000E+00
      1.0009E+00      1.0005E+00      1.0000E+00      1.0010E+00      1.0004E+00      8.9921E+01      9.0054E+01      1.0000E+00
      1.0004E+00      1.0002E+00      1.0000E+00      1.0004E+00      1.0001E+00      8.9963E+01      9.0023E+01      1.0000E+00
      1.0001E+00      1.0001E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9987E+01      9.0008E+01      1.0000E+00
      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      8.9996E+01      9.0002E+01      1.0000E+00
      1.0001E+00      1.0001E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9991E+01      9.0006E+01      1.0000E+00
      1.0003E+00      1.0001E+00      1.0000E+00      1.0002E+00      1.0002E+00      8.9971E+01      9.0020E+01      1.0000E+00
      1.0009E+00      1.0003E+00      1.0000E+00      1.0005E+00      1.0005E+00      8.9923E+01      9.0055E+01      1.0000E+00
      1.0017E+00      1.0004E+00      1.0000E+00      1.0009E+00      1.0010E+00      8.9846E+01      9.0113E+01      1.0000E+00
      1.0026E+00      1.0010E+00      1.0000E+00      1.0018E+00      1.0018E+00      8.9773E+01      9.0189E+01      1.0000E+00
      1.0030E+00      1.0018E+00      1.0000E+00      1.0031E+00      1.0024E+00      8.9757E+01      9.0241E+01      1.0000E+00
      1.0028E+00      1.0027E+00      1.0000E+00      1.0053E+00      1.0020E+00      8.9824E+01      9.0221E+01      1.0000E+00
      1.0025E+00      1.0031E+00      1.0000E+00      1.0067E+00      1.0017E+00      8.9903E+01      9.0114E+01      1.0000E+00
      1.0025E+00      1.0031E+00      1.0000E+00      1.0067E+00      1.0017E+00      8.9903E+01      9.0114E+01      1.0000E+00
      1.0028E+00      1.0027E+00      1.0000E+00      1.0053E+00      1.0020E+00      8.9824E+01      9.0221E+01      1.0000E+00
      1.0030E+00      1.0018E+00      1.0000E+00      1.0031E+00      1.0024E+00      8.9757E+01      9.0241E+01      1.0000E+00
      1.0026E+00      1.0010E+00      1.0000E+00      1.0018E+00      1.0018E+00      8.9773E+01      9.0189E+01      1.0000E+00
      1.0017E+00      1.0004E+00      1.0000E+00      1.0009E+00      1.0010E+00      8.9846E+01      9.0113E+01      1.0000E+00
      1.0009E+00      1.0003E+00      1.0000E+00      1.0005E+00      1.0005E+00      8.9923E+01      9.0055E+01      1.0000E+00
      1.0003E+00      1.0001E+00      1.0000E+00      1.0002E+00      1.0002E+00      8.9971E+01      9.0020E+01      1.0000E+00
      1.0001E+00      1.0001E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9991E+01      9.0006E+01      1.0000E+00
      1.0002E+00      1.0001E+00      1.0000E+00      1.0002E+00      1.0001E+00      8.9980E+01      9.0013E+01      1.0000E+00
      1.0007E+00      1.0003E+00      1.0000E+00      1.0006E+00      1.0004E+00      8.9938E+01      9.0046E+01      1.0000E+00
      1.0019E+00      1.0007E+00      1.0000E+00      1.0013E+00      1.0011E+00      8.9838E+01      9.0125E+01      1.0000E+00
      1.0035E+00      1.0011E+00      1.0000E+00      1.0017E+00      1.0022E+00      8.9694E+01      9.0253E+01      1.0000E+00
      1.0039E+00      1.0005E+00      1.0000E+00      1.0013E+00      1.0031E+00      8.9618E+01      9.0354E+01      1.0000E+00
      1.0021E+00      1.0015E+00      1.0000E+00      1.0031E+00      1.0015E+00      8.9631E+01      9.0348E+01      1.0000E+00
      9.9951E-01      1.0024E+00      1.0000E+00      1.0054E+00      9.9818E-01      8.9703E+01      9.0262E+01      1.0000E+00
      9.9834E-01      1.0023E+00      1.0000E+00      1.0053E+00      9.9752E-01      8.9881E+01      9.0106E+01      1.0000E+00
