  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      7.1136E-01      1.3622E+00      1.2021E+00      1.6498E+00      4.5524E-01      6.8188E+01      1.2253E+02      1.0000E+00
      9.0371E-01      1.0468E+00      1.0079E+00      1.1294E+00      8.5394E-01      8.6778E+01      9.2863E+01      1.0000E+00
      9.9891E-01      1.0425E+00      1.0033E+00      1.0841E+00      9.6953E-01      8.8446E+01      9.1830E+01      1.0000E+00
      9.9891E-01      1.0425E+00      1.0033E+00      1.0841E+00      9.6953E-01      8.8446E+01      9.1830E+01      1.0000E+00
      9.0371E-01      1.0468E+00      1.0079E+00      1.1294E+00      8.5394E-01      8.6778E+01      9.2863E+01      1.0000E+00
      7.1136E-01      1.3622E+00      1.2021E+00      1.6498E+00      4.5524E-01      6.8188E+01      1.2253E+02      1.0000E+00
      6.3450E-01      1.3151E+00      1.2698E+00      1.5998E+00      3.7707E-01      6.9440E+01      1.2711E+02      1.0000E+00
      1.0349E+00      1.1443E+00      1.0318E+00      1.3000E+00      8.7458E-01      7.6742E+01      1.0019E+02      1.0000E+00
      1.1254E+00      1.0967E+00      1.0277E+00      1.1869E+00      9.9283E-01      7.6830E+01      9.8988E+01      1.0000E+00
      9.7737E-01      1.0238E+00      1.0011E+00      1.0384E+00      9.6836E-01      8.8341E+01      9.1699E+01      1.0000E+00
      9.8432E-01      1.0179E+00      1.0006E+00      1.0362E+00      9.7836E-01      8.9680E+01      9.0659E+01      1.0000E+00
      9.8432E-01      1.0179E+00      1.0006E+00      1.0362E+00      9.7836E-01      8.9680E+01      9.0659E+01      1.0000E+00
      9.7737E-01      1.0238E+00      1.0011E+00      1.0384E+00      9.6836E-01      8.8341E+01      9.1699E+01      1.0000E+00
      1.1254E+00      1.0967E+00      1.0277E+00      1.1869E+00      9.9283E-01      7.6830E+01      9.8988E+01      1.0000E+00
      1.0349E+00      1.1443E+00      1.0318E+00      1.3000E+00      8.7458E-01      7.6742E+01      1.0019E+02      1.0000E+00
      6.3450E-01      1.3151E+00      1.2698E+00      1.5998E+00      3.7707E-01      6.9440E+01      1.2711E+02      1.0000E+00
      6.3491E-01      1.3135E+00      1.2701E+00      1.5992E+00      3.7719E-01      6.9504E+01      1.2711E+02      1.0000E+00
      9.8895E-01      1.0228E+00      1.0052E+00      1.0426E+00      9.5206E-01      8.4178E+01      9.3757E+01      1.0000E+00
      9.9036E-01      1.0210E+00      1.0009E+00      1.0427E+00      9.6025E-01      8.7667E+01      9.1229E+01      1.0000E+00
      1.0208E+00      1.0083E+00      1.0009E+00      1.0175E+00      1.0079E+00      8.7576E+01      9.1950E+01      1.0000E+00
      1.0001E+00      1.0120E+00      1.0008E+00      1.0257E+00      9.8204E-01      8.7676E+01      9.1403E+01      1.0000E+00
      9.8850E-01      1.0099E+00      1.0002E+00      1.0204E+00      9.8651E-01      8.9597E+01      9.0320E+01      1.0000E+00
      9.8850E-01      1.0099E+00      1.0002E+00      1.0204E+00      9.8651E-01      8.9597E+01      9.0320E+01      1.0000E+00
      1.0001E+00      1.0120E+00      1.0008E+00      1.0257E+00      9.8204E-01      8.7676E+01      9.1403E+01      1.0000E+00
      1.0208E+00      1.0083E+00      1.0009E+00      1.0175E+00      1.0079E+00      8.7576E+01      9.1950E+01      1.0000E+00
      9.9036E-01      1.0210E+00      1.0009E+00      1.0427E+00      9.6025E-01      8.7667E+01      9.1229E+01      1.0000E+00
      9.8895E-01      1.0228E+00      1.0052E+00      1.0426E+00      9.5206E-01      8.4178E+01      9.3757E+01      1.0000E+00
      6.3491E-01      1.3135E+00      1.2701E+00      1.5992E+00      3.7719E-01      6.9504E+01      1.2711E+02      1.0000E+00
      1.0379E+00      1.1470E+00      1.0317E+00      1.3028E+00      8.7623E-01      7.6723E+01      1.0025E+02      1.0000E+00
      9.9746E-01      1.0281E+00      1.0013E+00      1.0502E+00      9.6376E-01      8.7292E+01      9.1636E+01      1.0000E+00
      1.0282E+00      1.0156E+00      1.0017E+00      1.0239E+00      1.0107E+00      8.6734E+01      9.2643E+01      1.0000E+00
      1.0083E+00      1.0136E+00      1.0009E+00      1.0207E+00      9.9708E-01      8.7739E+01      9.2360E+01      1.0000E+00
      9.4384E-01      1.0266E+00      1.0027E+00      1.0744E+00      8.9626E-01      8.7439E+01      9.3171E+01      1.0000E+00
      9.4384E-01      1.0266E+00      1.0027E+00      1.0744E+00      8.9626E-01      8.7439E+01      9.3171E+01      1.0000E+00
      1.0083E+00      1.0136E+00      1.0009E+00      1.0207E+00      9.9708E-01      8.7739E+01      9.2360E+01      1.0000E+00
      1.0282E+00      1.0156E+00      1.0017E+00      1.0239E+00      1.0107E+00      8.6734E+01      9.2643E+01      1.0000E+00
      9.9746E-01      1.0281E+00      1.0013E+00      1.0502E+00      9.6376E-01      8.7292E+01      9.1636E+01      1.0000E+00
      1.0379E+00      1.1470E+00      1.0317E+00      1.3028E+00      8.7623E-01      7.6723E+01      1.0025E+02      1.0000E+00
      7.1306E-01      1.3614E+00      1.2019E+00      1.6506E+00      4.5597E-01      6.8265E+01      1.2250E+02      1.0000E+00
      1.1353E+00      1.0961E+00      1.0278E+00      1.1787E+00      1.0073E+00      7.6821E+01      9.9197E+01      1.0000E+00
      1.0463E+00      1.0091E+00      1.0014E+00      1.0186E+00      1.0385E+00      8.7416E+01      9.2893E+01      1.0000E+00
      1.0551E+00      1.0158E+00      1.0020E+00      1.0295E+00      1.0419E+00      8.6450E+01      9.2834E+01      1.0000E+00
      1.1622E+00      1.0997E+00      1.0304E+00      1.1756E+00      1.0286E+00      7.6220E+01      9.9351E+01      1.0000E+00
